nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
2632,402,7,7,0,0,2614,2676,18,2466,2646,32.42109489440918,8,2501,2581,37.503397941589355,50,80,2.0,0.5
722,31,1,1,0,0,726,726,1,630,640,6.855787038803101,1,630,640,0.09703350067138672,50,80,2.0,0.5
727,111,4,4,0,0,724,731,5,644,694,7.803051471710205,5,637,687,0.1192471981048584,50,80,2.0,0.5
1424,270,7,7,0,0,1482,1440,12,1415,1535,16.40193486213684,7,1405,1475,133.38253617286682,50,80,2.0,0.5
1171,177,4,4,0,0,1175,1186,6,1099,1159,12.212046384811401,4,1104,1144,0.476884126663208,50,80,2.0,0.5
633,45,2,2,0,0,665,637,2,594,614,6.331709861755371,2,594,614,0.0649411678314209,50,80,2.0,0.5
1079,86,2,2,0,0,1081,1093,2,1008,1028,8.618988752365112,2,1008,1028,0.11047816276550293,50,80,2.0,0.5
1316,254,6,6,0,0,1296,1350,14,1156,1296,15.268145561218262,7,1173,1243,3.591970443725586,50,80,2.0,0.5
669,156,5,5,0,0,630,688,6,543,603,4.73343825340271,5,541,591,0.5381839275360107,50,80,2.0,0.5
667,82,3,3,0,0,745,673,3,667,697,7.632211923599243,3,666,696,0.19225668907165527,50,80,2.0,0.5
2397,439,9,9,0,0,2462,2436,21,2326,2536,29.399730920791626,9,2367,2457,2676.7715134620667,50,80,2.0,0.5
634,20,3,3,0,0,625,634,3,549,579,6.714000225067139,3,549,579,0.17311954498291016,50,80,2.0,0.5
552,88,3,3,0,0,580,558,4,490,530,4.389492034912109,3,499,529,0.160858154296875,50,80,2.0,0.5
528,33,2,2,0,0,515,531,2,451,471,4.080150127410889,2,451,471,0.05367779731750488,50,80,2.0,0.5
693,161,6,6,0,0,720,698,9,641,731,6.591061592102051,6,646,706,0.3329794406890869,50,80,2.0,0.5
551,28,1,1,0,0,630,555,1,561,571,5.28335976600647,1,561,571,0.05159139633178711,50,80,2.0,0.5
1026,148,6,6,0,0,1016,1041,6,932,992,10.945021867752075,6,932,992,9.344145059585571,50,80,2.0,0.5
1158,110,3,3,0,0,1190,1175,3,1111,1141,9.59122371673584,3,1111,1141,0.5256719589233398,50,80,2.0,0.5
100,12,3,3,0,0,103,101,3,97,127,0.36063218116760254,3,97,127,0.02540445327758789,50,5,2.0,0.5
94,17,6,5,0,0,86,95,6,84,144,0.23636603355407715,6,84,144,0.04442596435546875,50,5,2.0,0.5
48,39,7,7,0,0,52,51,7,42,112,0.2215125560760498,7,42,112,0.14411640167236328,50,5,2.0,0.5
68,27,7,5,0,0,75,68,7,71,141,0.3118419647216797,7,71,141,0.04447817802429199,50,5,2.0,0.5
120,8,2,2,0,0,109,120,2,109,129,0.16013765335083008,2,109,129,0.017472505569458008,50,5,2.0,0.5
51,8,5,2,0,0,57,52,4,51,91,0.23128771781921387,4,51,91,0.034996747970581055,50,5,2.0,0.5
88,12,3,3,0,0,83,90,3,79,109,0.2386760711669922,3,79,109,0.027469635009765625,50,5,2.0,0.5
73,14,6,4,0,0,76,73,6,74,134,0.26949024200439453,6,74,134,0.12926936149597168,50,5,2.0,0.5
78,16,6,5,0,0,99,80,5,93,143,0.3517897129058838,5,93,143,0.12170243263244629,50,5,2.0,0.5
45,11,4,2,0,0,58,45,4,57,97,0.23379254341125488,4,57,97,0.017685413360595703,50,5,2.0,0.5
180,36,9,8,0,0,176,184,8,170,250,0.8175899982452393,8,178,258,0.8208162784576416,50,5,2.0,0.5
59,10,3,3,0,0,56,60,3,50,80,0.2475724220275879,3,50,80,0.016407489776611328,50,5,2.0,0.5
47,12,4,3,0,0,63,49,3,55,85,0.14788198471069336,3,55,85,0.015667200088500977,50,5,2.0,0.5
96,17,4,4,0,0,110,97,4,106,146,0.29676222801208496,4,106,146,0.031584739685058594,50,5,2.0,0.5
67,8,4,3,0,0,63,68,4,59,99,0.2605886459350586,4,59,99,0.02452254295349121,50,5,2.0,0.5
94,21,7,6,0,0,115,96,6,112,172,0.29851508140563965,6,112,172,0.31541991233825684,50,5,2.0,0.5
51,6,2,2,0,0,59,53,2,53,73,0.15082311630249023,2,53,73,0.014089822769165039,50,5,2.0,0.5
38,20,5,4,0,0,57,41,4,49,89,0.23940181732177734,4,49,89,0.01613593101501465,50,5,2.0,0.5
142,12,3,2,0,0,134,144,3,130,160,0.04775571823120117,3,130,160,0.027124404907226562,50,5,2.0,0.5
66,16,6,6,0,0,66,68,6,61,121,0.2543163299560547,6,61,121,0.04979085922241211,50,5,2.0,0.5
