nCospec,nIndividualDups,nAllDupEvents,nJointDups,nXtinc,nHostSwitch,nLineageSort,codivs,dups,losses,cost,sdTime,mrDups,mrLosses,mrCost,mrTime,nH,nP,rB,pJ
731,66,5,5,0,0,711,735,5,614,664,79.99057626724243,5,614,664,4.239351987838745,50,80,2.0,0.5
997,44,1,1,0,0,1052,1003,1,1005,1015,38.197510957717896,1,1005,1015,0.1151893138885498,50,80,2.0,0.5
917,114,3,3,0,0,934,923,3,884,914,81.37909364700317,3,884,914,0.169813871383667,50,80,2.0,0.5
45,5,3,1,0,0,40,46,3,35,65,1.2392868995666504,3,35,65,0.017481565475463867,50,5,2.0,0.5
26,16,5,5,0,0,39,26,5,31,81,1.638331413269043,5,31,81,0.04369187355041504,50,5,2.0,0.5
182,31,5,5,0,0,169,184,5,165,215,6.859896659851074,7,161,231,0.04628324508666992,50,5,2.0,0.5
13,10,4,4,0,0,24,14,4,16,56,1.6551015377044678,4,16,56,0.03997492790222168,50,5,2.0,0.5
67,17,8,6,0,0,79,71,7,67,137,3.3231863975524902,7,67,137,0.0700995922088623,50,5,2.0,0.5
59,23,8,6,0,0,54,62,7,45,115,2.2867000102996826,7,45,115,0.045650482177734375,50,5,2.0,0.5
80,12,4,4,0,0,60,80,4,60,100,1.4845244884490967,4,60,100,0.035468339920043945,50,5,2.0,0.5
41,7,3,2,0,0,32,42,3,28,58,1.2489013671875,3,28,58,0.015505790710449219,50,5,2.0,0.5
40,29,5,4,0,0,35,41,4,27,67,2.9584507942199707,4,27,67,0.012355327606201172,50,5,2.0,0.5
36,7,5,2,0,0,46,36,5,43,93,1.4563853740692139,5,43,93,0.12787127494812012,50,5,2.0,0.5
258,41,6,6,0,0,240,259,6,236,296,13.289819717407227,6,236,296,0.2554283142089844,50,5,2.0,0.5
68,12,4,4,0,0,79,69,4,77,117,2.3744618892669678,4,77,117,0.04085588455200195,50,5,2.0,0.5
84,21,6,6,0,0,89,88,6,75,135,2.2321653366088867,6,75,135,0.027454614639282227,50,5,2.0,0.5
542,130,9,9,0,0,559,554,9,533,623,38.62787866592407,9,533,623,0.47455358505249023,50,5,2.0,0.5
81,20,6,6,0,0,74,82,6,67,127,2.4409055709838867,6,67,127,0.05963635444641113,50,5,2.0,0.5
119,16,4,4,0,0,112,121,4,106,146,4.165398120880127,4,106,146,0.033150434494018555,50,5,2.0,0.5
64,19,5,5,0,0,60,65,5,56,106,2.8948898315429688,5,56,106,0.044721126556396484,50,5,2.0,0.5
33,8,2,2,0,0,29,35,2,20,40,1.6923656463623047,2,20,40,0.011958122253417969,50,5,2.0,0.5
128,29,6,5,0,0,136,132,5,128,178,6.109768390655518,5,128,178,0.05047798156738281,50,5,2.0,0.5
77,15,3,3,0,0,61,77,3,61,91,3.354508638381958,3,61,91,0.02606678009033203,50,5,2.0,0.5
51,5,5,0,0,0,43,51,5,38,88,0.988027811050415,5,38,88,0.034169673919677734,50,5,2.0,0.5
172,32,9,8,0,0,143,174,9,138,228,5.367465496063232,9,138,228,13.687730550765991,50,5,2.0,0.5
57,8,4,2,0,0,59,63,1,46,56,1.3716094493865967,1,46,56,0.008260488510131836,50,5,2.0,0.5
54,16,6,6,0,0,60,55,6,55,115,2.211121082305908,6,55,115,0.03564715385437012,50,5,2.0,0.5
144,18,5,4,0,0,163,147,5,157,207,0.5595207214355469,5,157,207,0.046278953552246094,50,5,2.0,0.5
64,20,8,6,0,0,88,68,7,76,146,2.4314424991607666,8,74,154,0.31213903427124023,50,5,2.0,0.5
